ID,UUID,SECURITY_CODE,SECURITY_NAME,ACCOUNTING_YEAR,DATA_YEAR,IS_DELETE,CONTEXTREF,CREATETIME,REPORT_TYPE,STAMP,PAGE_INDEX,SOURCE_URL,BAME00000M,BAME00010M,BAME00020M,BAME00030M,BAME00040M,BAME00050M,BAME00060M,BAME00070M,BAME00080M,BAME00090M,BAME00100M,BAME00110M,BAME00120M,BAME00130M,BAME00140M,BAME00150M,BAME00160M,BAME00170M,BAME00180M,BAME00190M,BAME00200M,BAME00210M,BAME00220M,BAME00230M,BAME00240M,BAME00250M,BAME00260M,BAME00270M,BAME00280M,BAME00290M,BAME00300M,BAME00310M,BAME00320M,BAME00330M,BAME00340M,BAME00350M,BAME00360M,BAME00370M,BAME00380M,BAME00390M,BAME00400M,BAME00410M,BAME00420M,BAME00430M,BAME00440M,BAME00450M,BAME00460M,BAME00470M,BAME00480M,BAME00490M,BAME00500M,BAME00510M,BAME00520M,BAME00530M,BAME00540M,BAME00550M,BAME00560M,BAME00570M,BAME00580M,BAME00590M,BAME00600M,BAME00610M,BAME00620M,BAME00630M,BAME00640M,BAME00650M,BAME00660M,BAME00670M,BAME00680M,BAME00690M,BAME00700M,BAME00710M,BAME00720M,BAME00730M,BAME00740M,BAME00750M,BAME00760M,BAME00770M,BAME00780M,BAME00790M,BAME00800M,BAME00810M,BAME00820M,BAME00830M,BAME00840M,BAME00850M,BAME00860M,BAME00870M,BAME00880M,BAME00890M,BAME00900M,BAME00910M,BAME00920M,BAME00930M,BAME00940M,BAME00950M,BAME00960M,BAME00970M,BAME00980M,BAME00990M,BAME01000M,BAME01010M,BAME01020M,BAME01030M,BAME01040M,BAME01050M,BAME01060M,BAME01070M,BAME01080M,BAME01090M,BAME01100M,BAME01110M,BAME01120M,BAME01130M,BAME01140M,BAME01150M,BAME01160M,BAME01170M,BAME01180M,BAME01190M,BAME01200M,BAME01210M,BAME01220M,BAME01230M,BAME01240M,BAME01250M,BAME01260M,BAME01270M,BAME01280M,BAME01290M,BAME01300M,BAME01310M,BAME01320M,BAME01330M,BAME01340M,BAME01350M,BAME01360M,BAME01370M,BAME01380M,BAME01390M,BAME01400M,BAME01410M,BAME01420M,BAME01430M,BAME01440M,BAME01450M,BAME01460M,BAME01470M,BAME01480M,BAME01490M,BAME01500M,BAME01510M,BAME01520M,BAME01530M,BAME01540M,BAME01550M,BAME01560M,BAME01570M,BAME01580M,BAME01590M,BAME01600M,BAME01610M,BAME01620M,BAME01630M,BAME01640M,BAME01650M,BAME01660M,BAME01670M,BAME01680M,BAME01690M,BAME01700M,BAME01710M,BAME01720M,BAME01730M,BAME01740M,BAME01750M,BAME01760M,BAME01770M,BAME01780M,BAME01790M,BAME01800M,BAME01810M,BAME01820M,BAME01830M,BAME01840M,BAME01850M,BAME01860M,BAME01870M,BAME01880M,BAME01890M,BAME01900M,BAME01910M,BAME01920M,BAME01930M,BAME01940M,BAME01950M,BAME01960M,BAME01970M,BAME01980M,BAME01990M,BAME02000M,BAME02010M,BAME02020M,BAME02030M,BAME02040M,BAME02050M,BAME02060M,BAME02070M,BAME02080M,BAME02090M,BAME02100M,BAME02110M,BAME02120M,BAME02130M,BAME02140M,BAME02150M,BAME02160M,BAME02170M,BAME02180M,BAME02190M,BAME02200M,BAME02210M,BAME02220M,BAME02230M,BAME02240M,BAME02250M,BAME02260M,BAME02270M,BAME02280M,BAME02290M,BAME02300M,BAME02310M,BAME02320M,BAME02330M,BAME02340M,BAME02350M,BAME02360M,BAME02370M,BAME02380M,BAME02390M,BAME02400M,BAME02410M,BAME02420M,BAME02430M,BAME02440M,BAME02450M,BAME02460M,BAME02470M,BAME02480M
283,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/3/27,年度报告,2019/2/27,45,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,,1,1581956943,,,,,,,,,,,,,,,,,,,,,2224745,1162335560,,,,,,445917202.3,,,,,,,,,,,,,,,,,,,,,,,,,,148685372,,,,,,,,329504165.2,,,,,,,,,,,,,,,,3272510.63,,,3673896498,1,,,,15662867.93,,,,,,,1998711.03,,,,,46374042.42,76088809.14,,,,,,30316851.52,,,,,,,,,,,,5221637,,,,,,378957.11,,,9881306.16,,,185923182.3,,3859819680,,1,,,,,,,,,,,,,,,,1022375826,1452810785,,,,,,,,,172902475.2,,,61019872.53,,,,,,,169950.1,,,,,,,155761802.4,,,,,,,,,,,,,,,,,,35197693.64,2900238405,1,,,,,,,,,,,,,,,,,1982218.63,,,1982218.63,,2902220623,1,381600000,,,,,,,,,2500000,,569502.24,,129792356.7,,,,,443137197.9,,,,957599056.8,,957599056.8,3859819680
284,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/3/27,年度报告,2019/2/27,45,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,,1,1532200982,,,,,,,,,,,,,,,,,,,,,4688503.61,894946080.9,,,,,,465318844.7,,,,,,,,,,,,,,,,,,,,,,,,,,156696332.4,,,,,,,,443983381.6,,,,,,,,,,,,,,,,1410964.45,,,3499245090,1,,,,4037867.93,,,,,,,,,,,,37121774.18,74139128.43,,,,,,,,,,,,,,,,,,9167427.11,,,,,,1288454.51,,,9148655.97,,,134903308.1,,3634148398,,1,,,,,,,,,,,,,,,2025000,902479211.9,1541813668,,,,,,,,,140714294.3,,,42580962.38,,,,,,,128383.3,,,,,,,151985002.2,,,,,,,,,,,,,,,,,,10385981.6,2792112504,1,,,,,,,,,,,,,,,,,2573098.75,,,2573098.75,,2794685602,1,381600000,,,,,,,,,2500000,,1447323.73,,108604411.1,,,,,345311060.4,,,,839462795.3,,839462795.3,3634148398
66543,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/3/27,年度报告,2019/2/27,48,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,,1,1369668140,,,,,,,,,,,,,,,,,,,,,2224745,1065679578,,,,,,311821739.4,,,,,,,,,,,,,,,,,,,,,,,,,,138223443.6,,,,,,,,328369002.3,,,,,,,,,,,,,,,,2570623.22,,,3218557271,1,,,,849410.79,,,,,,,126383935.2,,,,,28826200.98,64306681.36,,,,,,,,,,,,,,,,,,5194909.09,,,,,,378957.11,,,8270518.02,,,234210612.5,,3452767883,,1,,,,,,,,,,,,,,,,930971954.9,1266896678,,,,,,,,,142185558.2,,,51877458.06,,,,,,,169950.1,,,,,,,134161425.3,,,,,,,,,,,,,,,,,,35714261.76,2561977286,1,,,,,,,,,,,,,,,,,1982218.63,,,1982218.63,,2563959505,1,381600000,,,,,,,,,2500000,,,,129792356.7,,,,,374916021.6,,,,,,888808378.3,3452767883
66544,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/3/27,年度报告,2019/2/27,48,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,,1,1246638581,,,,,,,,,,,,,,,,,,,,,4688503.61,834055915,,,,,,376428683.7,,,,,,,,,,,,,,,,,,,,,,,,,,158547370.5,,,,,,,,440593767.9,,,,,,,,,,,,,,,,,,,3060952822,1,,,,849410.79,,,,,,,88383935.17,,,,,29897508.06,62774842.02,,,,,,,,,,,,,,,,,,9155027.34,,,,,,1288454.51,,,7912914.67,,,200262092.6,,3261214914,,1,,,,,,,,,,,,,,,2025000,854674515.2,1305995649,,,,,,,,,117518422.5,,,34564620.34,,,,,,,128383.3,,,,,,,143153790,,,,,,,,,,,,,,,,,,9712512.84,2467772893,1,,,,,,,,,,,,,,,,,2033098.75,,,2033098.75,,2469805992,1,381600000,,,,,,,,,2500000,,,,108604411.1,,,,,298704511.4,,,,,,791408922.6,3261214914
138801,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/4/27,年度报告,2019/2/28,44,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,,1,10501726.35,,,,,,,,,,,,,,,,,,,,,243700,132008625.3,,,,,,65229904.04,,,,,,,,,,,,,,,,,,,,,,,,,,195048171.2,,,,,,,,38077160.06,,,,,,,,,,,,,,,,274472.42,,,441383759.4,1,,,,,,,,,,,78578749.82,,,,,,3826276.05,,,,,,,,,,,,,,,,,,2959298.88,,,,,,,,,1974286.55,,10123000,97461611.3,,538845370.7,,1,70000000,,,,,,,,,,,,,,,62250503.1,16326610.13,,,,,,,,,3488190.41,,,396969.16,,,,,461796.49,,,,,,,,,12314216.87,,,,,,,,,,,,,,,,,,,165238286.2,1,,,,,,,,,,,,,,,,,,,,,,165238286.2,1,60424822.3,,,,,,,,,109232473.2,,,,25973502.15,,,,,177976286.9,,,,,,373607084.5,538845370.7
138802,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/4/27,年度报告,2019/2/28,44,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,,1,9092097.18,,,,,,,,,,,,,,,,,,,,,10497500,118086288.1,,,,,,56162768.91,,,,,,,,,,,,,,,,,,,,,,,,,,247663414.9,,,,,,,,47654902.58,,,,,,,,,,,,,,,,,,,489156971.7,1,,,,,,,,,,,108597351.6,,,,,,21719641.15,,,,,,3470514,,,,,,,,,,,,16657699.97,,,,,,,,,821393.15,,,151266599.8,,640423571.5,,1,180000000,,,,,,,,,,,,,,12500000,60380816.09,14810937.82,,,,,,,,,3117920.61,,,3501863.55,,,,,486405.18,,,,,,,,,35343622.97,,,,,,,,,,,,,,,,,,,310141566.2,1,,,,,,,,,,,,,,,,,,,,,,310141566.2,1,60424822.3,,,,,,,,,109232473.2,,,,21459719.76,,,,,139164990,,,,,,330282005.3,640423571.5
57499,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/27,年度报告,2019/2/27,41,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,,1,29239284.58,,,,,,,,,,,,,,,,,,,,,243700,59363552.02,,,,,,124022706.5,,,,,,,,,,,,,,,,,,,,,,,,,,32391037.46,,,,,,,,60969706.4,,,,,,,,,,,,,,,,300846.85,,,306530833.8,1,,,,,,,,,,,5706254.71,,,,,,191247714.7,,,,,,,,,,,,,,,,,,46367898.24,,,,,,,,,1974286.55,,20233000,265529154.2,,572059987.9,,1,90000000,,,,,,,,,,,,,,18000000,82989642.7,16626582.89,,,,,,,,,3602554.37,,,4970648.27,,,,,461796.49,,,,,,,,,2045790.05,,,,,,,,,,,,,,,,,,,218697014.8,1,7995175,,,,,,,,,,,,,,,,,,,7995175,,226692189.8,1,60424822.3,,,,,,,,,109418188,,,,25973502.15,,,,,149631705.4,,,,345448217.8,-80419.64,345367798.2,572059987.9
57500,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/27,年度报告,2019/2/27,41,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,,1,17709777.82,,,,,,,,,,,,,,,,,,,,,34397500,105558868.4,,,,,,158367722.3,,,,,,,,,,,,,,,,,,,,,,,,,,8371193.64,,,,,,,,96220546.51,,,,,,,,,,,,,,,,55972.75,,,420681581.4,1,,,,,,,,,,,5724856.44,,,,,,58927679.81,,,,,,171374747.2,,,,,,,,,,,,62364501.68,,,,,6179796.38,,,,1535561.14,,,306107142.7,,726788724.1,,1,216300000,,,,,,,,,,,,,,12500000,87534405.82,15682705.58,,,,,,,,,3405414.98,,,13503129.44,,,,,486405.18,,,,,,,,,45946841.18,,,,,,,,,,,,,,,,,,,395358902.2,1,23985525,,,,,,,,,,,,,,,,,,,23985525,,419344427.2,1,60424822.3,,,,,,,,,109418188,,,,21459719.76,,,,,116026714.9,,,,307329444.9,114851.99,307444296.9,726788724.1
14917,c842b850eef858f499f2be029971f7a8,430004,绿创设备,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/25,年度报告,2019/2/27,44,http://www.neeq.com.cn/disclosure/2018/2018-04-25/1524646777_224268.pdf,,,1,2541191.92,,,,,,,,,,,,,,,,18327,,,,,58876.94,29567309.82,,,,,,2773491.01,,,,,,,,,,,,,,,,,,,,,,,,,,904512.27,,,,,,,,75214510.81,,,,,,,,,,,,,,,,,,,111078219.8,1,,,,1900000,,,,,,,,,,,,,28126541.55,,,,,,,,,,,,,,,,,,4442336.51,,,,,,,,,1610907.46,,,36079785.52,,147158005.3,,1,30000000,,,,,,,,,,,,,,,56461173.53,2525880.6,,,,,,,,,947224.01,,,-566220.23,,,,,,,,,,,,,,2462524.64,,,,,,,,,,,,,,,,,,,91830582.55,1,,,,,,,,,,,,,,,,,,,,,,91830582.55,1,100067400,,,,,,,,,13933460.96,,,,3211058.67,,,,,-61884496.89,,,,55327422.74,,55327422.74,147158005.3
14918,c842b850eef858f499f2be029971f7a8,430004,绿创设备,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/25,年度报告,2019/2/27,44,http://www.neeq.com.cn/disclosure/2018/2018-04-25/1524646777_224268.pdf,,,1,3185860.33,,,,,,,,,,,,,,,,18614,,,,,17715.35,25106596.36,,,,,,694475.95,,,,,,,,,,,,,,,,,,,,,,,,,,2633399.3,,,,,,,,51409039.53,,,,,,,,,,,,,,,,,,,83065700.82,1,,,,1900000,,,,,,,,,,,,,29869485.49,,,,,,,,,,,,,,,,,,5813659.52,,,,,,,,,1610907.46,,,39194052.47,,122259753.3,,1,30000000,,,,,,,,,,,,,,,23316098.63,1615380.32,,,,,,,,,640914.69,,,725134.98,,,,,,,,,,,,,,368592.69,,,,,,,,,,,,,,,,,,,56666121.31,1,,,,,,,,,,,,,,,,,,,,,,56666121.31,1,100067400,,,,,,,,,13933460.96,,,,3211058.67,,,,,-51618287.65,,,,65593631.98,,65593631.98,122259753.3
